row_index,paper_compiled,paper_overall_correct,paper_best_speedup,our_asm_ok,our_all_passed,our_asm_mean_s,our_script_exit_code,compile_agree,correctness_agree
1,False,False,1.0,False,False,,1,True,True
2,False,False,1.0,True,True,,1,False,False
3,False,False,1.0,False,False,,1,True,True
4,False,False,1.0,True,True,,1,False,False
5,False,False,1.0,False,False,,1,True,True
6,False,False,1.0,True,True,,1,False,False
7,False,False,1.0,True,True,,1,False,False
8,False,False,1.0,False,False,,1,True,True
9,False,False,1.0,True,True,,1,False,False
10,False,False,1.0,False,False,,1,True,True
11,False,False,1.0,True,False,,3,False,True
12,False,False,1.0,False,False,,1,True,True
13,False,False,1.0,True,True,,1,False,False
14,False,False,1.0,False,False,,1,True,True
15,False,False,1.0,False,False,,1,True,True
16,False,False,1.0,False,False,,1,True,True
17,False,False,1.0,False,False,,1,True,True
18,False,False,1.0,False,False,,1,True,True
19,False,False,1.0,True,True,,1,False,False
20,False,False,1.0,False,False,,1,True,True
21,False,False,1.0,False,False,,1,True,True
22,False,False,1.0,False,False,,1,True,True
23,False,False,1.0,False,False,,1,True,True
24,False,False,1.0,False,False,,1,True,True
25,False,False,1.0,False,False,,1,True,True
26,False,False,1.0,True,True,,1,False,False
27,False,False,1.0,False,False,,1,True,True
28,False,False,1.0,False,False,,1,True,True
29,False,False,1.0,True,True,,1,False,False
30,False,False,1.0,False,False,,1,True,True
31,False,False,1.0,True,True,,1,False,False
32,False,False,1.0,False,False,,1,True,True
33,False,False,1.0,True,False,,3,False,True
34,False,False,1.0,False,False,,1,True,True
35,False,False,1.0,False,False,,1,True,True
36,False,False,1.0,True,True,,1,False,False
37,False,False,1.0,False,False,,1,True,True
38,False,False,1.0,False,False,,1,True,True
39,False,False,1.0,False,False,,1,True,True
40,False,False,1.0,False,False,,1,True,True
41,False,False,1.0,False,False,,1,True,True
42,False,False,1.0,False,False,,1,True,True
43,False,False,1.0,False,False,,1,True,True
44,False,False,1.0,False,False,,1,True,True
45,False,False,1.0,False,False,,1,True,True
46,False,False,1.0,False,False,,1,True,True
47,False,False,1.0,False,False,,1,True,True
48,False,False,1.0,False,False,,1,True,True
49,False,False,1.0,True,True,,1,False,False
50,False,False,1.0,False,False,,1,True,True
51,False,False,1.0,False,False,,1,True,True
52,False,False,1.0,False,False,,1,True,True
53,False,False,1.0,True,False,,3,False,True
54,False,False,1.0,False,False,,1,True,True
55,False,False,1.0,False,False,,1,True,True
56,False,False,1.0,False,False,,1,True,True
57,False,False,1.0,False,False,,1,True,True
58,False,False,1.0,False,False,,1,True,True
59,False,False,1.0,True,True,,1,False,False
60,False,False,1.0,True,False,,3,False,True
61,False,False,1.0,True,True,,1,False,False
62,False,False,1.0,False,False,,-1,True,True
63,False,False,1.0,False,False,,1,True,True
64,False,False,1.0,False,False,,1,True,True
65,False,False,1.0,False,False,,1,True,True
66,False,False,1.0,False,False,,1,True,True
67,False,False,1.0,False,False,,1,True,True
68,False,False,1.0,False,False,,1,True,True
69,False,False,1.0,True,False,,3,False,True
70,False,False,1.0,True,False,,3,False,True
71,False,False,1.0,False,False,,1,True,True
72,False,False,1.0,True,True,,1,False,False
73,False,False,1.0,False,False,,1,True,True
74,False,False,1.0,False,False,,1,True,True
75,False,False,1.0,False,False,,1,True,True
76,False,False,1.0,False,False,,1,True,True
77,False,False,1.0,False,False,,1,True,True
78,False,False,1.0,False,False,,1,True,True
79,False,False,1.0,False,False,,1,True,True
80,False,False,1.0,False,False,,1,True,True
81,False,False,1.0,False,False,,1,True,True
82,False,False,1.0,False,False,,1,True,True
83,False,False,1.0,False,False,,1,True,True
84,False,False,1.0,True,True,,1,False,False
85,False,False,1.0,False,False,,1,True,True
86,False,False,1.0,False,False,,1,True,True
87,False,False,1.0,False,False,,1,True,True
88,False,False,1.0,True,False,,3,False,True
89,False,False,1.0,True,True,,1,False,False
90,False,False,1.0,True,False,,3,False,True
91,False,False,1.0,True,True,,1,False,False
92,False,False,1.0,False,False,,1,True,True
93,False,False,1.0,False,False,,1,True,True
94,False,False,1.0,False,False,,1,True,True
95,False,False,1.0,False,False,,1,True,True
96,False,False,1.0,False,False,,1,True,True
97,False,False,1.0,False,False,,1,True,True
98,False,False,1.0,True,True,,1,False,False
99,False,False,1.0,True,True,,1,False,False
100,False,False,1.0,False,False,,1,True,True
